"V1","V2"
"Direct-Display-Affiliate-Direct-Affiliate-Direct-End",13
"Direct-Display-Affiliate-Direct-Affiliate-Social-End",4
"Direct-Display-Affiliate-Direct-Affiliate-Display-End",4
"Direct-Display-Affiliate-Direct-Affiliate-Paid Search-End",5
"Direct-Display-Affiliate-Direct-Paid Search-Direct-End",15
"Direct-Display-Affiliate-Direct-Paid Search-Social-End",14
"Direct-Display-Affiliate-Direct-Paid Search-Display-End",10
"Direct-Display-Affiliate-Direct-Paid Search-Affiliate-End",1
"Direct-Display-Affiliate-Direct-Paid Search-Organic Search-End",2
"Direct-Display-Affiliate-Direct-Organic Search-Direct-End",2
"Direct-Display-Affiliate-Direct-Organic Search-Paid Search-End",6
"Direct-Display-Affiliate-Display-Direct-Social-End",9
"Direct-Display-Affiliate-Display-Direct-Display-End",10
"Direct-Display-Affiliate-Display-Direct-Affiliate-End",2
"Direct-Display-Affiliate-Display-Direct-Paid Search-End",7
"Direct-Display-Affiliate-Display-Affiliate-Direct-End",3
"Direct-Display-Affiliate-Display-Affiliate-Display-End",6
"Direct-Display-Affiliate-Display-Affiliate-Paid Search-End",4
"Direct-Display-Affiliate-Display-Paid Search-Direct-End",13
"Direct-Display-Affiliate-Display-Paid Search-Social-End",20
"Direct-Display-Affiliate-Display-Paid Search-Display-End",54
"Direct-Display-Affiliate-Display-Paid Search-Affiliate-End",1
"Direct-Display-Affiliate-Display-Paid Search-Organic Search-End",4
"Direct-Display-Affiliate-Display-Organic Search-Direct-End",4
"Direct-Display-Affiliate-Display-Organic Search-Display-End",1
"Direct-Display-Affiliate-Display-Organic Search-Paid Search-End",9
"Direct-Display-Affiliate-Organic Search-Social-End",4
"Direct-Display-Affiliate-Paid Search-Direct-Social-End",11
"Direct-Display-Affiliate-Paid Search-Direct-Display-End",6
"Direct-Display-Affiliate-Paid Search-Direct-Affiliate-End",5
"Direct-Display-Affiliate-Paid Search-Direct-Paid Search-End",22
"Direct-Display-Affiliate-Paid Search-Direct-Organic Search-End",1
"Direct-Display-Affiliate-Paid Search-Display-Direct-End",8
"Direct-Display-Affiliate-Paid Search-Display-Social-End",12
"Direct-Display-Affiliate-Paid Search-Display-Affiliate-End",8
"Direct-Display-Affiliate-Paid Search-Display-Paid Search-End",19
"Direct-Display-Affiliate-Paid Search-Display-Organic Search-End",4
"Direct-Display-Affiliate-Paid Search-Affiliate-Direct-End",5
"Direct-Display-Affiliate-Paid Search-Affiliate-Social-End",3
"Direct-Display-Affiliate-Paid Search-Affiliate-Display-End",1
"Direct-Display-Affiliate-Paid Search-Affiliate-Paid Search-End",19
"Direct-Display-Affiliate-Paid Search-Organic Search-Direct-End",5
"Direct-Display-Affiliate-Paid Search-Organic Search-Paid Search-End",14
